exID,tgtCnt,tgtID,patternID,pattern,rwpCnt,pos2verb,optProvCxt,provRwp,optSdhCxt,optSdhRwpCxt,asyllRwp,hostRwp
ex001,2,p01,q01, îți ,1,pre-verbal,y,y,n,n,x,x
ex001,2,p02,q01,a-ți ,1,pre-verbal,y,n,n,n,x,x
ex002,1,p01,q01,=a i le ,2,pre-verbal,n,n,n,n,x,x
ex003,1,p01,q01,=a mi le ,2,pre-verbal,n,n,n,n,x,x
ex004,2,p01,q01,=a nu o ,1,pre-verbal,n,n,y,n,x,n
ex004,2,p01,q02, îi ,1,pre-verbal,n,y,n,n,x,x
ex004,2,p02,q01,=a n-o ,1,pre-verbal,n,n,y,n,x,y
ex004,2,p02,q02, îi ,1,pre-verbal,n,y,n,n,x,x
ex005,2,p01,q01,=a nu îți ,1,pre-verbal,y,y,n,n,x,x
ex005,2,p02,q01,=a nu-ți ,1,pre-verbal,y,n,n,n,x,x
ex006,1,p01,q01,=a nu ți-l ,2,pre-verbal,n,n,n,n,x,x
ex007,2,p01,q01,=a îi ,1,pre-verbal,y,y,n,n,x,x
ex007,2,p02,q01,=a-i ,1,pre-verbal,y,n,n,n,x,x
ex008,2,p01,q01,=a îl ,1,pre-verbal,y,y,n,n,x,x
ex008,2,p02,q01,=a-l ,1,pre-verbal,y,n,n,n,x,x
ex009,2,p01,q01,=a îți ,1,pre-verbal,y,y,n,n,x,x
ex009,2,p02,q01,=a-ți ,1,pre-verbal,y,n,n,n,x,x
ex010,1,p01,q01, mi-s ,2,pre-verbal,n,n,n,n,x,x
ex011,1,p01,q01, mi-s ,2,pre-verbal,n,n,n,n,x,x
ex012,2,p01,q01, îl ,1,pre-verbal,y,y,n,n,x,x
ex012,2,p02,q01, l-a,1,pre-verbal,y,n,n,n,x,x
ex013,2,p01,q01,u-le ,1,post-verbal,n,n,y,y,n,x
ex013,2,p02,q01,u-le-a,1,post-verbal,n,n,y,y,y,x
ex014,1,p01,q01,u-le ,1,post-verbal,n,n,n,n,x,x
ex016,1,p01,q01,t-o ,1,post-verbal,n,n,n,n,x,x
ex017,1,p01,q01,t-o ,1,post-verbal,n,n,n,n,x,x
ex018,2,p01,q01, nu o ,1,pre-verbal,n,n,y,n,x,n
ex018,2,p02,q01, n-o ,1,pre-verbal,n,n,y,n,x,y
ex019,1,p01,q01,ă-mi ,1,post-verbal,n,n,n,n,x,x
ex020,1,p01,q01,ă-mă ,1,post-verbal,n,n,n,n,x,x
ex021,1,p01,q01,ă-ne ,1,post-verbal,n,n,n,n,x,x
ex022,1,p01,q01,ă-ne ,1,post-verbal,n,n,n,n,x,x
ex023,2,p01,q01, se ,1,pre-verbal,n,n,y,n,x,n
ex023,2,p02,q01, se-n,1,pre-verbal,n,n,y,n,x,y
ex024,1,p01,q01, le ,1,pre-verbal,n,n,n,n,x,x
ex025,1,p01,q01,t-o ,1,post-verbal,n,n,n,n,x,x
ex026,1,p01,q01,te-l-ar ,1,post-verbal,n,n,n,n,x,x
